name,formatted_address,business_status,url,vicinity,category_1,category_2,latitude,longitude
Bar Corallini,"2004 Atwood Ave, Madison, 53704, WI",OPERATIONAL,https://www.yelp.com/biz/bar-corallini-madison-2?adjust_creative=4Z4cbQT4liVLQAx5MqD1Mw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4Z4cbQT4liVLQAx5MqD1Mw,2004 Atwood Ave,food,food,,
Samba Brazilian Grill,"240 W Gilman St, Madison, 53703, WI",OPERATIONAL,https://www.yelp.com/biz/samba-brazilian-grill-madison?adjust_creative=4Z4cbQT4liVLQAx5MqD1Mw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4Z4cbQT4liVLQAx5MqD1Mw,240 W Gilman St,food,food,,
Le C?€?s Patisserie & Tea House,"411 State St, Madison, 53703, WI",OPERATIONAL,https://www.yelp.com/biz/le-c-s-patisserie-and-tea-house-madison?adjust_creative=4Z4cbQT4liVLQAx5MqD1Mw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4Z4cbQT4liVLQAx5MqD1Mw,411 State St,food,food,,
Madistan,"317 N Bassett St, Madison, 53703, WI",OPERATIONAL,https://www.yelp.com/biz/madistan-madison?adjust_creative=4Z4cbQT4liVLQAx5MqD1Mw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4Z4cbQT4liVLQAx5MqD1Mw,317 N Bassett St,food,food,,
Players Sports Bar,"2013 Winnebago St, Madison, 53704, WI",OPERATIONAL,https://www.yelp.com/biz/players-sports-bar-madison?adjust_creative=4Z4cbQT4liVLQAx5MqD1Mw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4Z4cbQT4liVLQAx5MqD1Mw,2013 Winnebago St,food,food,,
Madison Massage LLC,"Inside Lifecity Chiropractic, 637 E Washington Ave ste. 103, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=6642479705976104631,"Inside Lifecity Chiropractic, 637 East Washington Avenue ste. 103, Madison",leisure,spa,,
WickedBeauty,"303 S Livingston St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13778963363035764079,"303 South Livingston Street, Madison",leisure,spa,,
"Billie Abplanalp, Esthetician","637 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=4425886980617207528,"637 East Washington Avenue, Madison",leisure,spa,,
Estibillie Mobile Spa,"637 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=832846563656231114,"637 East Washington Avenue, Madison",leisure,spa,,
Toe Fish Art - Murals - Hand Painted Furniture,"Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=7725632659798472759,Madison,leisure,painter,,
Apollo Painting,"422 S Blount St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13919912472159954311,"422 South Blount Street, Madison",leisure,painter,,
Studio 924 Hair Designs,"924 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=3079673945283831376,"924 East Johnson Street, Madison",leisure,hair_care,,
Cha Cha Beauty & Barber,"1255 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13889159890634086203,"1255 Williamson Street, Madison",leisure,hair_care,,
love+light hairdressing,"849 E Washington Ave #200, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=5662401065840730494,"849 East Washington Avenue #200, Madison",leisure,hair_care,,
Lumen Hair Salon,"845 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=16665687163992199787,"845 East Johnson Street, Madison",leisure,hair_care,,
KODE Salon,"303 S Livingston St, Madison, WI 53703, USA",CLOSED_TEMPORARILY,https://maps.google.com/?cid=14241056544823791150,"303 South Livingston Street, Madison",leisure,hair_care,,
Balayage By Billie,"The Hair Collective, 1228 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=4305160995666053585,"The Hair Collective, 1228 Williamson Street, Madison",leisure,hair_care,,
Williamson Barbering,"1228 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=7649604258248659451,"1228 Williamson Street, Madison",leisure,hair_care,,
#MMCstyle - Misters - Madams - Color - Salon,"1016 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=5302139729298733369,"1016 East Washington Avenue, Madison",leisure,hair_care,,
Reanna's Salona,"101 N Paterson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=16349589999924981419,"101 North Paterson Street, Madison",leisure,hair_care,,
HairStories,"845 E Johnson St *Located, inside Lumen Hair Salon, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13630044012310826990,"inside Lumen Hair Salon, 845 E Johnson St *Located, Madison",leisure,hair_care,,
Resplendence,"303 S Livingston St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=15955707710051299184,"303 South Livingston Street, Madison",leisure,hair_care,,
Meraki Salon LLC,"803 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=11131607645477105105,"803 Williamson Street, Madison",leisure,hair_care,,
The Hair Collective,"The Hair Collective, 1228 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=823818497135147139,"The Hair Collective, 1228 Williamson Street, Madison",leisure,hair_care,,
Hair By Harlow,"Hair by Harlow, 1228 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=17013815833585272797,"Hair by Harlow, 1228 Williamson Street, Madison",leisure,hair_care,,
Hair By Samoyah,"The Hair Collective, 1228 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=12802255765233161229,"The Hair Collective, 1228 Williamson Street, Madison",leisure,hair_care,,
Maison de V,"600 Williamson St suite j, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=3022813825454701698,"600 Williamson Street suite j, Madison",leisure,hair_care,,
Chair 412,"412 S Baldwin St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=16217764914150559052,"412 South Baldwin Street, Madison",leisure,hair_care,,
